"slug","title","excerpt","description","prompt_body","usage","example","difficulty","categories","models","related_tool_slugs"
"marketing-newsletter-with-subject-lines","開封される件名付きメールマガジン作成プロンプト","伝えたいトピックから、件名案5つと読み進めやすいメルマガ本文を作成します。","顧客向けメールマガジンの件名と本文を作るプロンプトです。件名はパターンの違う5案を出し、本文は「冒頭で読む理由を示す→本題→1つの行動」という流れで構成します。

毎号の執筆にかかる時間を減らしつつ、読者との関係を保つ文章にすることを目的としています。","# ROLE
あなたは読者との信頼関係を大切にするメールマーケティング担当者です。

# INPUT
- 配信先：{例：無料会員、既存顧客、セミナー参加者}
- 今回伝えたいこと：{トピックを1〜2個}
- 読者に取ってほしい行動：{例：記事を読む、キャンペーンページを見る}
- ブランドの文体：{例：丁寧で親しみやすい、専門的で簡潔}
- 過去によく開封された件名（あれば）：{例}

# RULES
- 件名は全角30字以内。「【重要】」など緊急性を装う表現は使わない
- 本文の冒頭3行で「読むと何が分かるか」を伝える
- 行動の呼びかけは1つだけにする
- 誇大な表現や、根拠のない効果の断定はしない

# OUTPUT
1. 件名案5つ（型を変える：数字／問いかけ／ベネフィット／意外性／ストーリー）と、それぞれ狙う読者心理
2. プレヘッダー（受信箱で件名の横に表示される短文）案
3. 本文（全角800字程度）
4. 配信後に確認する指標と、改善の仮説","配信先と伝えたいことを入力します。過去に開封率が高かった件名があれば、参考例として入れると文体が揃います。
件名は複数案をA/Bテストで試し、結果を次回の入力に反映すると精度が上がっていきます。","【入力】配信先：料理教室の無料会員／トピック：秋の新メニュー講座の案内、作り置きのコツ／行動：講座ページを見る

【出力イメージ】
件名案（数字）：作り置きが3日長持ちする、冷ます順番
件名案（問いかけ）：週末の作り置き、何品つくっていますか？
プレヘッダー：秋の新講座のお知らせもあります","beginner","marketing","chatgpt, claude","chatgpt, claude"
"marketing-search-ads-headlines-descriptions","リスティング広告の見出しと説明文を作成するプロンプト","検索キーワードと訴求軸から、検索広告の見出し・説明文を文字数を意識して大量に作成します。","検索連動型広告（リスティング広告）の見出しと説明文を作るプロンプトです。キーワードごとの検索意図を踏まえ、「価格」「実績」「手軽さ」など訴求軸を変えた案を作ります。組み合わせて表示される広告形式を想定し、どの見出しと組み合わさっても意味が通る文にします。

文字数の上限や広告ポリシーは変更されることがあるため、入稿前に各広告媒体の最新の公式ヘルプを確認してください。","あなたは運用型広告の経験が豊富な広告プランナーです。

【商品・サービス】{名称・価格・主な特徴}
【ランディングページで伝えていること】{LPの主な訴求}
【対象キーワード】{例：経費精算 システム、経費精算 クラウド 比較}
【ターゲット】{誰が検索するか}
【文字数の上限】見出し：{例：全角15字}、説明文：{例：全角45字} ※媒体の最新規定を入力

【作成ルール】
- 見出しは15案。訴求軸（価格／実績／手軽さ／課題／限定性など）をばらけさせる
- 説明文は4案。見出しと重複しない情報を入れる
- どの見出し同士が並んでも意味が通るようにする
- 最上級表現や「No.1」は、根拠が入力にない限り使わない
- LPに書かれていない約束（例：「必ず〇〇」）はしない
- 文字数は上限以内に収め、各案の文字数を表示する

【出力】
1. キーワードごとの検索意図（1行ずつ）
2. 見出し15案（訴求軸・文字数付き）
3. 説明文4案（文字数付き）
4. 最初にテストすべき組み合わせと、その理由","対象キーワードと、ランディングページで実際に伝えている内容を入力します。文字数の上限は媒体の最新規定を確認して入力してください。
出力された文字数は目安です。入稿画面で必ず再確認し、広告ポリシーに反する表現がないかも確認してください。","【入力】クラウド経費精算／月額1人300円〜、スマホで領収書撮影／キーワード：経費精算 システム／上限：見出し全角15字、説明文全角45字

【出力イメージ】
見出し（手軽さ）：領収書はスマホで撮るだけ（12字）
見出し（価格）：1人月額300円から（9字）
説明文：領収書を撮影するだけで申請が完了。承認や仕訳データの作成まで一つの画面で進められます。（44字）","intermediate","marketing","chatgpt, gemini","chatgpt, gemini"
"marketing-product-launch-campaign-plan","新商品ローンチのキャンペーン企画を設計するプロンプト","発売前・発売時・発売後の3段階で、施策・チャネル・KPI・スケジュールを一枚の計画にまとめます。","新商品や新サービスの発売に合わせたキャンペーン全体を設計するプロンプトです。発売前の期待づくり、発売時の集中露出、発売後の口コミ促進という3段階で施策を組み立て、予算配分やKPIまで一つの計画にまとめます。

社内の企画会議に出す「たたき台」として使うことを想定しています。","# ROLE
あなたは消費財・デジタルサービスの両方でローンチを担当してきたマーケティングマネージャーです。

# CONTEXT
- 商品：{名称・価格・特徴・競合との違い}
- ターゲット：{属性・行動・悩み}
- 発売日：{日付}
- 予算：{総額}
- 使えるチャネル：{例：自社SNS、メルマガ、店頭、広告、PR、インフルエンサー}
- 目標：{例：発売後1か月で販売数〇個、会員登録〇件}

# PROCESS
1. ターゲットが商品を知ってから購入するまでの流れを整理する
2. 発売前（期待づくり）／発売時（露出の山）／発売後（継続・口コミ）の3段階に施策を割り当てる
3. 施策ごとに目的・チャネル・担当・費用目安・KPIを決める
4. 予算配分と、うまくいかなかった場合の代替案を用意する

# RULES
- 目標から逆算し、施策ごとのKPIが目標にどうつながるか説明する
- 予算の合計が入力した総額を超えないようにする
- インフルエンサー施策を入れる場合は、広告であることの明示（ステマ規制）に触れる

# OUTPUT
1. キャンペーンのコンセプト（キーメッセージ1文）
2. 3段階の施策表（施策／目的／チャネル／費用目安／KPI）
3. 週単位のスケジュール
4. リスクと代替案（3つ）","商品の特徴、発売日、予算、使えるチャネルを入力します。目標は数字で書くと、施策ごとのKPIが逆算しやすくなります。
費用目安は一般的な想定です。実際の見積は各媒体や代理店に確認してください。","【入力】自宅で使える小型のフィットネスバイク 3万9,800円／30〜40代の在宅勤務者／発売日11月1日／予算300万円／目標：1か月で1,000台

【出力イメージ】
コンセプト：「会議の合間の10分で、座りっぱなしをリセット」
発売前：在宅勤務者向けのモニター募集（50名）…KPI：応募数、モニター投稿数
発売時：…","advanced","marketing","claude, chatgpt","claude, chatgpt"
"marketing-kpi-tree-design","マーケティングKGIから逆算するKPIツリー設計プロンプト","売上などの最終目標を分解し、チームが日々追うべき指標と改善の打ち手を構造化します。","売上や契約数などの最終目標（KGI）を、チームが日々の業務で追える指標（KPI）に分解するプロンプトです。数式でつながるツリー構造にするため、「どの数字を改善すれば目標に効くか」がはっきりします。

現状の数値を入力すれば、どこがボトルネックになっているかの分析まで行います。","あなたはデータに基づくマーケティング組織づくりを支援するコンサルタントです。

【事業モデル】{例：BtoB SaaS、EC、店舗集客}
【最終目標（KGI）】{例：半年後の月間新規契約30件}
【現状の数値】{例：月間サイト訪問2万、資料DL 200件、商談化率20%、受注率25%。不明なものは「不明」}
【チームの体制】{例：マーケ2名、インサイドセールス1名}

【手順】
1. KGIを、掛け算・足し算で表せる要素に分解する（最大3階層）
2. 各KPIについて、現状値と、目標達成に必要な値を計算する
3. 現状値と必要値の差が大きい箇所をボトルネックとして特定する
4. ボトルネックごとに、改善の打ち手と、先行して追う指標を提案する

【ルール】
- 分解は必ず数式でつながるようにする（例：契約数＝商談数×受注率）
- 「不明」の数値は仮置きし、仮置きであることを明示する
- チームの体制で実行できる打ち手に絞る

【出力】
1. KPIツリー（インデントで階層を表現、各項目に数式）
2. 現状値・必要値・差分の表
3. ボトルネックと打ち手（優先度順に3つ）
4. 週次で見るダッシュボードの項目案","事業モデルと最終目標、分かる範囲の現状の数値を入力します。数値が分からない項目は「不明」と書けば、仮の値で計算したうえで明示されます。
出力されたツリーをスプレッドシートに写し、数式を組んでおくと、月次の振り返りにそのまま使えます。","【入力】BtoB SaaS／KGI：月間新規契約30件／現状：訪問2万、資料DL200、商談化率20%、受注率25%

【出力イメージ】
新規契約数（30）＝商談数（120）×受注率（25%）
　商談数（120）＝リード数（600）×商談化率（20%）
　　リード数：現状200 → 必要600（差分が最大＝ボトルネック）
打ち手：資料DLページの改善、ウェビナーの定期開催…","advanced","marketing","claude, chatgpt","claude, chatgpt"
"marketing-ab-test-hypothesis-plan","A/Bテストの仮説と検証計画を立てるプロンプト","改善したいページや施策から、根拠のある仮説・テスト案・判定基準をセットで作ります。","LP・広告・メールなどのA/Bテストを、思いつきではなく仮説に基づいて計画するプロンプトです。現状のデータと課題から仮説を立て、何を変えて何を測るのか、どれくらいの期間でどう判定するのかまでを整理します。

「何となく色を変えてみる」テストから、学びが残るテストへ変えることが目的です。","# GOAL
次の改善対象について、学びが残るA/Bテストの計画を作成してください。

# INPUT
- テスト対象：{例：料金ページ、メルマガの件名、広告のクリエイティブ}
- 現状の数値：{例：月間訪問5,000、申込率1.2%}
- 課題だと感じていること：{例：料金ページで離脱が多い}
- ユーザーの声・ヒートマップなどの定性情報：{あれば}
- 1か月あたりの対象の訪問数・配信数：{数値}

# PROCESS
1. 課題の原因について仮説を3つ立てる（根拠も書く）
2. 仮説ごとに、変更するもの（1つだけ）と測る指標を決める
3. 期待できるインパクトと実施のしやすさで優先順位を付ける
4. 最優先のテストについて、必要な期間の目安と判定基準を決める

# RULES
- 1つのテストで変えるのは1要素だけにする
- 統計的な有意性の判断には、専用の計算ツールを使うよう注記する
- 数値が足りずテストが成立しない場合は、代わりの検証方法（ユーザーテスト等）を提案する

# OUTPUT
1. 仮説一覧（仮説／根拠／変更するもの／指標）
2. 優先順位の表
3. 最優先テストの詳細計画（パターンA/B、期間、判定基準、次のアクション）","改善したいページや施策と、現状の数値を入力します。訪問数が少ないとテスト結果が出るまで時間がかかるため、月あたりの訪問数・配信数も必ず入力してください。
有意差の判定は、A/Bテスト用の計算ツールで確認してください。","【入力】料金ページ／月間訪問5,000、申込率1.2%／課題：ページ中央で離脱が多い

【出力イメージ】
仮説1：プランの違いが分かりにくく比較で止まっている（根拠：ヒートマップで比較表の滞在が長い）— 変更：おすすめプランを1つ強調 — 指標：申込ボタンのクリック率
最優先テストの判定基準：申込率が相対10%以上改善し、有意差が確認できたら採用","intermediate","marketing","chatgpt, claude","chatgpt, claude"
"marketing-customer-case-study-interview","導入事例インタビューの質問設計と記事構成プロンプト","顧客インタビューの質問リストを作り、回答メモから導入事例記事の構成まで仕上げます。","顧客に導入事例の取材をするときの質問設計と、取材後の記事構成を作るプロンプトです。導入前の課題、比較検討した内容、導入の決め手、導入後の変化という流れで質問を組み、「読み手が自分ごと化できる事例記事」になるよう構成します。

記事公開前には、必ず取材先に内容の確認を取ってください。","あなたはBtoBの導入事例記事を数多く手がけてきた編集者です。

## ステップ1：質問設計
次の情報から、45分の取材で聞く質問リストを作成してください。
- 取材先：{業界・規模・取材相手の役職}
- 導入した商品：{名称}
- 事前に分かっている導入の経緯：{分かる範囲で}
- 記事を読んでほしい人：{例：同じ課題を持つ中小企業の総務担当}

質問は「導入前の課題」「比較検討」「決め手」「導入時の苦労」「導入後の変化（数字と実感）」「今後の展望」に分け、深掘りの追加質問も付けてください。

## ステップ2：記事構成
取材後、次の回答メモをもとに記事の構成案と見出しを作成してください。
{取材の回答メモを貼り付け}

ルール：
- 数字は取材で聞いた事実だけを使う
- 課題→解決→変化が読み手に伝わる順番にする
- 取材相手の発言の引用は、メモの表現を大きく変えない

出力：タイトル案3つ、リード文、見出し構成（H2/H3）と各見出しで使う発言、取材先に確認すべき箇所","まずステップ1だけを使って質問リストを作り、取材が終わったら回答メモを貼り付けてステップ2を実行します。
記事にする数字や社名の掲載可否は、必ず取材先に確認してから公開してください。","【入力】取材先：架空の従業員60名の設計事務所・総務課長／商品：クラウド勤怠管理

【出力イメージ（ステップ1）】
導入前の課題：「導入前、勤怠の締めで一番時間がかかっていた作業は何でしたか？」→深掘り「それは月に何時間くらいでしたか？」
決め手：「最終的に比較したサービスと、決め手になった点を教えてください」","intermediate","marketing","claude, chatgpt","claude, chatgpt"
"marketing-press-release-draft","プレスリリースの草稿を作成するプロンプト","発表内容から、記者が読みやすい構成のプレスリリース草稿とタイトル案を作ります。","新商品・新サービス・提携・イベントなどの発表内容から、プレスリリースの草稿を作るプロンプトです。タイトル、リード文、本文、会社概要という基本構成に沿い、記者が「何が新しいのか」を最初の数行で理解できる文章にします。

社内の確認・承認を経てから配信してください。","# ROLE
あなたは企業広報の経験が長いPRプランナーです。

# INPUT
- 発表の種類：{新商品／新サービス／提携／調査結果／イベント など}
- 発表内容：{何を・いつから・いくらで・誰向けに}
- 新しさ・社会的な背景：{なぜ今この発表なのか}
- 裏付けとなる事実：{数値、調査結果、実績など}
- 代表者などのコメント（あれば）：{コメント}
- 会社概要：{社名・所在地・代表者・事業内容・URL}

# RULES
- タイトルは全角40字前後で、発表の核心が分かるようにする
- リード文（冒頭段落）で5W1Hを押さえる
- 「業界初」「日本一」などは、入力に根拠がない限り使わない
- 広告のような誇張表現は避け、事実を中心に書く
- 入力にない数値や事実は作らない。必要な場合は［要確認］と書く

# OUTPUT
1. タイトル案3つとサブタイトル
2. リード文
3. 本文（背景／概要／特徴／今後の展開）
4. 会社概要・問い合わせ先の枠
5. 配信前に社内で確認すべき項目","発表内容と、その裏付けとなる事実を入力します。「業界初」などの表現を使いたい場合は、根拠となる調査や資料も入力してください。
［要確認］の箇所は必ず事実を確認し、配信前に社内の承認を得てください。","【入力】新サービス：中小企業向けの電話自動応答サービス、10月1日提供開始、月額9,800円〜／背景：人手不足で電話対応の負担が増加

【出力イメージ】
タイトル案：中小企業の電話対応を自動化する「（サービス名）」を10月1日に提供開始
リード文：株式会社〇〇（本社：［要確認］）は、中小企業向けの電話自動応答サービス「…」の提供を10月1日より開始します。…","intermediate","marketing","chatgpt, claude","chatgpt, claude"
"marketing-customer-journey-map","カスタマージャーニーマップを作成するプロンプト","認知から継続利用までの行動・感情・接点を整理し、各段階で打つべき施策を洗い出します。","顧客が商品を知ってから購入し、使い続けるまでの流れを「カスタマージャーニーマップ」として整理するプロンプトです。段階ごとに顧客の行動・考えていること・感情・接点（タッチポイント）を並べることで、どこで離脱が起きやすく、どこに施策が足りないかが見えてきます。

チームで顧客理解をそろえるワークショップの素材にも使えます。","あなたは顧客体験（CX）設計の専門家です。
次の情報から、カスタマージャーニーマップを作成してください。

【商品・サービス】{名称と概要}
【対象となる顧客像】{ペルソナの概要}
【現在の主な接点】{例：検索、SNS、店頭、営業、メール、サポート}
【分かっている課題】{例：無料体験後の有料化率が低い}

【段階】認知／興味・比較／購入・申込／利用開始／継続・推奨

【手順】
1. 段階ごとに、顧客の行動・考えていること・感情（ポジティブ/ネガティブ）・接点を書き出す
2. 感情が大きく下がる「ペインポイント」を特定する
3. ペインポイントごとに、改善施策と担当部署を提案する

【ルール】
- 顧客の言葉で書く（例：「料金の違いがよく分からない」）
- データや声に基づかない部分は「仮説」と明記する
- 施策は今ある接点で実行できるものから優先する

【出力】
1. ジャーニーマップ（表：段階×行動／思考／感情／接点）
2. ペインポイント上位3つと、その理由
3. 改善施策（施策／期待する変化／担当部署／優先度）","商品と対象の顧客像、今ある接点を入力します。アンケートやサポートへの問い合わせ内容など、実際の声があれば一緒に入れると仮説の精度が上がります。
表はスプレッドシートや資料にそのまま貼り付けて、チームで修正しながら使ってください。","【入力】オンラインヨガのサブスク（月額2,980円）／30代の在宅勤務者／課題：無料体験後の有料化率が低い

【出力イメージ】
利用開始：行動「体験レッスンを2回受ける」思考「どのクラスが自分に合うか分からない」感情：不安（ネガティブ）
ペインポイント1：体験期間中にクラス選びで迷って離脱（仮説）→施策：初回に目的別のおすすめ3クラスを案内","intermediate","marketing","claude, chatgpt","claude, chatgpt"
"marketing-seo-keyword-intent-clustering","SEOキーワードを検索意図でグルーピングしコンテンツ計画に落とすプロンプト","大量のキーワードを検索意図ごとにまとめ、どのページで狙うかのコンテンツマップを作ります。","キーワード調査ツールなどで集めた大量のキーワードを、検索意図ごとにグループ分けするプロンプトです。同じ意図のキーワードを1つのページでまとめて狙えるよう整理し、「新しく作るページ」「既存ページで対応するページ」を分けたコンテンツ計画に落とし込みます。

検索順位や検索ボリュームは変動するため、実際の数値はツールで確認してください。","# ROLE
あなたはコンテンツSEOの戦略立案を担当するSEOコンサルタントです。

# INPUT
- サイトの概要：{例：会計ソフトの公式ブログ}
- キーワード一覧（検索ボリュームがあれば併記）：
{キーワードを1行1つで貼り付け}
- 既存の記事一覧（あれば）：{タイトルとURL}

# PROCESS
1. 各キーワードの検索意図を「知りたい／比較したい／やり方を知りたい／買いたい・申し込みたい」に分類する
2. 同じ答えで満たせるキーワード同士をグループにまとめる（1グループ＝1ページ）
3. グループごとに、既存記事で対応できるか、新規作成が必要かを判定する
4. 事業への貢献度と作りやすさで優先順位を付ける

# RULES
- 1ページで狙うグループの中に、意図の違うキーワードを混ぜない
- 既存記事と意図が重なるグループは、新規作成ではなくリライトを提案する（カニバリゼーション防止）
- 検索ボリュームがないキーワードは、意図と事業との関連で判断する

# OUTPUT
1. グループ一覧（表：グループ名／検索意図／含むキーワード／対応ページ／新規orリライト）
2. 優先度上位5グループの記事タイトル案と、記事で答えるべき問い
3. グループ同士の内部リンクの設計案","キーワード調査ツールから書き出したキーワードを1行1つで貼り付けます。既存記事の一覧も入れると、新しく作る記事と書き直す記事を分けて提案してくれます。
キーワードが数百件ある場合は、100件ずつなど分けて実行し、最後に統合してください。","【入力】会計ソフトの公式ブログ／キーワード：確定申告 やり方、確定申告 必要書類、青色申告 白色申告 違い、会計ソフト 比較…

【出力イメージ】
| グループ名 | 検索意図 | キーワード | 対応 |
| 確定申告の手順 | やり方を知りたい | 確定申告 やり方／確定申告 流れ | 既存記事をリライト |
| 青色と白色の違い | 比較したい | 青色申告 白色申告 違い／… | 新規作成 |","advanced","marketing","chatgpt, claude","chatgpt, claude"
"marketing-customer-survey-design","顧客満足度アンケートの設問を設計するプロンプト","調査の目的から逆算して、回答しやすく分析しやすいアンケートの設問と選択肢を作ります。","顧客満足度調査や利用実態調査など、顧客向けアンケートの設問を設計するプロンプトです。「何を決めるための調査なのか」という目的から設問を逆算し、答えにくい質問や誘導的な質問を避けた設問票を作ります。

集計・分析の方法まで同時に考えるので、「集めたけど使えなかった」アンケートを防げます。","あなたは市場調査の設計に詳しいリサーチャーです。

■ 調査の目的（この結果で何を決めるか）：{例：来期に強化するサポート施策を決める}
■ 対象者：{例：契約1年以上の既存顧客}
■ 配信方法と想定回答数：{例：メールでGoogleフォームを配信、100件程度}
■ 回答にかけてもらえる時間：{例：3分以内}
■ 必ず聞きたいこと：{箇条書き}

設計ルール：
- 目的に関係しない設問は入れない（全体で10問以内）
- 1つの設問で2つのことを聞かない（ダブルバーレル質問を避ける）
- 誘導的な表現（「便利な〇〇機能について」など）を使わない
- 満足度は5段階などの尺度をそろえ、理由を聞く自由回答を1〜2問入れる
- 個人を特定する情報は必要最小限にする

出力：
1. 調査の設計概要（目的・仮説・対象・分析方法）
2. 設問票（番号／設問文／回答形式／選択肢）
3. 各設問が目的のどの判断に使われるか
4. 集計・分析の方法（クロス集計の軸など）","「この調査結果で何を決めたいか」を具体的に書くことが一番のポイントです。回答時間の目安を入れると、設問数が調整されます。
完成した設問は、配信前に社内の数人に回答してもらい、分かりにくい設問がないか確認してください。","【入力】目的：来期に強化するサポート施策を決める／対象：契約1年以上の顧客／3分以内

【出力イメージ】
Q3. 直近3か月で、サポートに問い合わせた方法をすべて選んでください（複数選択：メール／チャット／電話／問い合わせていない）
→使い道：チャネル別の満足度を比較し、強化するチャネルを決める","intermediate","marketing","chatgpt, gemini","chatgpt, gemini"
"marketing-brand-tagline-concept","ブランドのタグラインとコンセプト案を作るプロンプト","事業の想いや強みから、ブランドの核となる一文（タグライン）と方向性の違う案を作ります。","会社・商品・サービスのブランドを一言で表すタグライン（スローガン）と、その背景となるコンセプトを考えるプロンプトです。方向性の異なる複数の案を、込めた意味や使う場面の説明付きで出すので、チームで議論するときのたたき台になります。

最終案を使う前には、商標の確認を行ってください。","# ROLE
あなたはコピーライター出身のブランドコンサルタントです。

# INPUT
- ブランド名：{名称}
- 事業内容：{何を、誰に提供しているか}
- 創業の想い・大切にしていること：{自由に}
- 顧客からよく言われる言葉：{例：「相談しやすい」「対応が早い」}
- 競合とのちがい：{分かる範囲で}
- 好きな雰囲気／避けたい雰囲気：{例：誠実・温かい／派手・カタカナが多い}

# PROCESS
1. 入力から、ブランドの核になりそうな価値を3つの方向性に整理する（例：安心／挑戦／身近さ）
2. 方向性ごとにタグライン案を3つずつ作る
3. 各案について、込めた意味と、使う場面での見え方を説明する

# RULES
- 全角20字以内を基本にする
- 他社の有名なコピーに似せない
- 顧客からよく言われる言葉をヒントにする

# OUTPUT
1. 3つの方向性と、その根拠
2. タグライン案（計9案）と込めた意味
3. おすすめ案と理由、名刺・Webサイト・広告での使用イメージ
4. 決定前に確認すべきこと（商標、既存コピーとの重複など）","ブランドの想いや、顧客から実際に言われる言葉をできるだけ具体的に入力します。雰囲気の好みを書いておくと、言葉選びのトーンがそろいます。
候補を絞ったら、商標データベース（J-PlatPatなど）で類似の登録がないか確認してください。","【入力】架空の地域密着の税理士事務所／想い：数字が苦手な経営者の味方でいたい／顧客の声：「相談しやすい」

【出力イメージ】
方向性1（身近さ）：「数字の話を、もっと気軽に。」— 意味：相談のハードルを下げる姿勢を表す
方向性2（伴走）：「決算の先まで、となりに。」…","beginner","marketing","chatgpt, claude","chatgpt, claude"
"development-error-log-root-cause","エラーログとスタックトレースから原因を特定するデバッグプロンプト","エラーメッセージと関連コードを渡し、原因の仮説・確かめ方・修正案を順番に整理します。","エラーログやスタックトレースを貼り付けて、原因を突き止めるためのデバッグ用プロンプトです。いきなり修正コードを出させるのではなく、「原因の仮説を複数挙げる→確かめ方を示す→最も可能性が高いものを修正する」という順番で考えさせるため、的外れな修正を繰り返すことを防げます。

APIキーやパスワードなどの秘密情報は、貼り付ける前に必ず削除してください。","# ROLE
あなたは本番障害の調査経験が豊富なシニアエンジニアです。

# CONTEXT
- 言語・フレームワーク・バージョン：{例：Python 3.12 / Django 5.0}
- 実行環境：{例：ローカル、Docker、本番のLinuxサーバー}
- 何をしたときに起きるか：{再現手順}
- 期待する動作と実際の動作：{それぞれ}
- 最近変更したこと：{ライブラリ更新、設定変更、コード変更など}

# ERROR
```
{エラーメッセージ・スタックトレースを貼り付け}
```

# RELATED CODE
```
{エラーに関係しそうなコードを貼り付け}
```

# PROCESS
1. エラーメッセージが直接言っていることを平易に説明する
2. 原因の仮説を可能性の高い順に3つ挙げる（それぞれ根拠を書く）
3. 各仮説を確かめる方法を示す（ログ追加、確認コマンドなど）
4. 最も可能性の高い仮説について、修正案のコードと、修正後に確認すべきことを示す

# RULES
- 情報が足りない場合は、推測で修正せず、追加で必要な情報を質問する
- 修正は最小限にする。関係のないリファクタリングはしない","エラー全文と、関係しそうなコード、再現手順をセットで貼り付けます。「最近変更したこと」を書くと原因の絞り込みが早くなります。
提示された確認方法を実行し、その結果を続けて貼ると、仮説をさらに絞り込めます。秘密情報や個人情報は必ずマスクしてください。","【入力】Python 3.12 / Django 5.0／ライブラリ更新後にログインで500エラー／エラー：AttributeError: 'NoneType' object has no attribute 'id'

【出力イメージ】
1. 意味：本来ユーザー情報が入るはずの変数が空（None）のまま、idを参照しています
2. 仮説A（可能性：高）：ライブラリ更新で認証バックエンドの戻り値が変わった — 根拠：更新直後から発生
3. 確かめ方：authenticate() の戻り値をログに出力する…","intermediate","development","claude, chatgpt","claude-code, cursor, claude"
"development-unit-test-case-generation","既存関数の単体テストケースを設計・生成するプロンプト","関数の仕様から正常系・境界値・異常系のテストケースを洗い出し、テストコードまで作成します。","テストがない既存の関数に、単体テストを追加するためのプロンプトです。まずテストケースを表で洗い出してからコードを書く流れにしているので、「テストはあるけれど大事なケースが漏れている」状態を防げます。境界値や異常系など、見落としやすいケースを重点的に確認します。","次の関数に対する単体テストを作成してください。

## 対象コード
```{言語}
{テストしたい関数・クラスを貼り付け}
```

## 前提
- 言語とテストフレームワーク：{例：TypeScript / Vitest、Python / pytest}
- この関数の仕様・期待する動作：{分かる範囲で。コメントや仕様書の内容}
- 外部依存（DB・API・日時など）：{モックすべきもの}

## 手順
1. 仕様とコードから、テストすべき観点を洗い出す
2. テストケースを表にする：ケース名／入力／期待する結果／観点（正常系・境界値・異常系）
3. 表の内容をテストコードにする

## ルール
- 境界値（0、空文字、最大値、null/undefined、日付の月末・うるう年など）を必ず検討する
- 仕様が不明な挙動は、テストを書く前に「仕様確認が必要」として質問する
- 実装の内部構造ではなく、入力と出力（振る舞い）をテストする
- テスト名は、何を確かめているか日本語または英語で分かるようにする

## 出力
1. テストケース一覧表
2. テストコード
3. このテストでは確認できていないこと","テストしたい関数と、使っているテストフレームワークを入力します。仕様書やコメントがあれば一緒に貼ると、仕様に沿ったテストになります。
CursorやClaude Codeなどのコーディングツールで使う場合は、対象ファイルを指定して同じ指示を出すと、プロジェクトのテスト規約に合わせやすくなります。","【入力】TypeScript / Vitest／関数：calcShippingFee(weightKg, prefecture)（3kg以下は一律、超えると1kgごと加算、離島は別料金）

【出力イメージ】
| ケース名 | 入力 | 期待する結果 | 観点 |
| ちょうど3kg | 3, ""東京都"" | 基本料金 | 境界値 |
| 3.01kg | 3.01, ""東京都"" | 基本料金＋1kg分 | 境界値 |
| 重量が負の数 | -1, ""東京都"" | エラー | 異常系 |","intermediate","development","claude, chatgpt","cursor, claude-code, github-copilot"
"development-legacy-refactoring-plan","レガシーコードを段階的にリファクタリングする計画プロンプト","巨大な関数や密結合なコードを、動作を壊さずに小さなステップで改善する手順を計画します。","長年手を入れられてきた複雑なコードを、一度に書き直すのではなく、安全な小さいステップに分けて改善するための計画を立てるプロンプトです。現状の問題点の整理、テストで守るべき振る舞いの特定、ステップごとの変更内容と確認方法までを計画します。

チームでのレビューや、作業の見積もりにも使えます。","# ROLE
あなたはレガシーシステムの改善を多数手がけてきたソフトウェアアーキテクトです。

# INPUT
- 対象コード：
```
{リファクタリングしたいコード（長い場合は主要部分）}
```
- 言語・フレームワーク：{例：PHP 8.1 / Laravel 10}
- 困っていること：{例：修正のたびに別の箇所が壊れる、1関数800行}
- テストの有無：{あり／一部あり／なし}
- 制約：{例：リリースを止められない、1回のPRは300行まで}

# PROCESS
1. コードの問題点を「責務が多すぎる」「重複」「隠れた依存」「命名」などの観点で整理する
2. リファクタリング前に守るべき振る舞いを列挙し、先に書くべきテスト（特性テスト）を示す
3. 変更をステップに分解する（1ステップ＝単独でリリース可能な変更）
4. 各ステップのリスクと、動作確認の方法を示す

# RULES
- 機能追加とリファクタリングを同じステップで行わない
- 最初のステップは、最もリスクが低く効果が見えやすいものにする
- 一括書き換え（ビッグバンリライト）は提案しない

# OUTPUT
1. 問題点の整理（優先度付き）
2. 先に用意するテストの一覧
3. ステップ計画（表：ステップ／変更内容／リスク／確認方法／目安の規模）
4. 最初のステップの具体的なコード変更例","対象コードと、困っていること、テストの有無、制約を入力します。コードが長い場合は、主要な関数とそれを呼び出している箇所を優先して貼ってください。
Claude CodeやCursorなどでリポジトリ全体を読ませて使うと、呼び出し元まで含めた計画になります。","【入力】PHP 8.1 / Laravel 10／1関数800行の注文処理、テストなし、1PRは300行まで

【出力イメージ】
先に用意するテスト：通常注文、クーポン適用、在庫切れ、決済失敗の4パターンの特性テスト
ステップ1：金額計算の部分を別メソッドに抽出（リスク：低、確認：特性テストが通ること）
ステップ2：…","advanced","development","claude, chatgpt","claude-code, cursor, claude"
