title,slug,company_name,official_url,short_description,pricing_type,japanese_support,tool_status,rating_overall,is_featured,display_order,category,feature,tag,platform
Cursor,cursor,"Anysphere, Inc.",https://www.cursor.com/,"コードベース全体を理解するAIエディターで、補完、質問、複数ファイル編集、デバッグを開発環境内で効率化できる。利用目的に合わせて導入を検討できます。",freemium,partial,active,4.8,1,11,プログラミング,"コード生成,自動化","無料プランあり,高精度,高速","macOS,Windows,Linux"
GitHub Copilot,github-copilot,"GitHub, Inc.",https://github.com/features/copilot,"エディターやGitHub上でコード補完、チャット、レビュー、エージェント作業を提供し、日々の開発を幅広く支援するAI。利用目的に合わせて導入を検討できます。",freemium,partial,active,4.7,1,12,プログラミング,"コード生成,自動化,チーム利用","無料プランあり,商用利用可能","macOS,Windows,Linux,Web"
Claude Code,claude-code,Anthropic,https://www.anthropic.com/claude-code,"ターミナルからコードベースを調査し、実装、修正、テスト、Git操作を対話的に進められるエージェント型コーディングツール。利用目的に合わせて導入を検討できます。",paid,partial,active,4.8,0,13,"プログラミング,AIエージェント","コード生成,自動化,API","高精度,高速","macOS,Windows,Linux"
Windsurf,windsurf,"Cognition AI, Inc.",https://windsurf.com/,"コード補完とエージェント機能を統合したAI開発環境で、複数ファイルにまたがる実装や修正を流れを保って進められる。利用目的に合わせて導入を検討できます。",freemium,partial,active,4.5,0,14,プログラミング,"コード生成,自動化","無料プランあり,高速","macOS,Windows,Linux"
Lovable,lovable,Lovable Labs,https://lovable.dev/,"作りたいWebアプリを自然言語で説明すると、画面とコードを生成し、修正から公開までブラウザ上で進められる開発AI。利用目的に合わせて導入を検討できます。",freemium,partial,active,4.5,0,15,"プログラミング,AIエージェント","コード生成,自動化","初心者向け,無料プランあり","Web"
Bolt,bolt,StackBlitz,https://bolt.new/,"プロンプトからフルスタックWebアプリを生成し、コード編集、実行、デプロイまでをブラウザ内で素早く試せる開発ツール。利用目的に合わせて導入を検討できます。",freemium,partial,active,4.4,0,16,"プログラミング,AIエージェント","コード生成,自動化","初心者向け,無料プランあり,高速","Web"
v0,v0,Vercel,https://v0.dev/,"文章や参考画像からWeb UIとアプリのコードを生成し、対話で調整しながらVercelへの公開まで進められる開発AI。利用目的に合わせて導入を検討できます。",freemium,partial,active,4.5,0,17,"プログラミング,デザイン","コード生成,画像生成","初心者向け,無料プランあり,高速","Web"
Replit,replit,"Replit, Inc.",https://replit.com/,"ブラウザ上の開発環境とAIエージェントを使い、要件整理から実装、テスト、デプロイまで一つの場所で進められる。利用目的に合わせて導入を検討できます。",freemium,partial,active,4.4,0,18,"プログラミング,AIエージェント","コード生成,自動化,チーム利用","初心者向け,無料プランあり","Web,iOS,Android"
Midjourney,midjourney,"Midjourney, Inc.",https://www.midjourney.com/,"短い文章から高品質で独創的な画像を生成でき、広告、コンセプトアート、デザイン案の制作に強い画像生成AI。利用目的に合わせて導入を検討できます。",paid,partial,active,4.8,1,19,"画像生成,デザイン",画像生成,"高精度,商用利用可能","Web,Discord"
FLUX,flux,Black Forest Labs,https://bfl.ai/,"自然な質感と指示への追従性に強い画像生成モデル群で、WebサービスやAPIから制作フローへ組み込んで利用できる。利用目的に合わせて導入を検討できます。",freemium,partial,active,4.6,0,20,画像生成,"画像生成,API","高精度,商用利用可能","Web,API"
Ideogram,ideogram,Ideogram AI,https://ideogram.ai/,"画像内の文字表現とデザイン生成を得意とし、ポスター、ロゴ案、SNS素材をプロンプトから手軽に作成できるAI。利用目的に合わせて導入を検討できます。",freemium,partial,active,4.5,0,21,"画像生成,デザイン",画像生成,"初心者向け,無料プランあり","Web,iOS"
Leonardo AI,leonardo-ai,Leonardo.Ai,https://leonardo.ai/,"画像生成、編集、スタイル調整を一つの制作画面で行え、ゲーム素材や広告ビジュアルを効率よく作れるクリエイティブAI。利用目的に合わせて導入を検討できます。",freemium,partial,active,4.5,0,22,"画像生成,デザイン",画像生成,"初心者向け,無料プランあり,商用利用可能","Web,iOS,Android"
Adobe Firefly,adobe-firefly,Adobe Inc.,https://firefly.adobe.com/,"画像生成や生成塗りつぶし、文字効果を提供し、Adobe製品と連携して商用制作を進めやすいクリエイティブAI。利用目的に合わせて導入を検討できます。",freemium,full,active,4.6,0,23,"画像生成,デザイン",画像生成,"初心者向け,日本語対応,無料プランあり,商用利用可能","Web,Windows,macOS"
Runway,runway,Runway AI,https://runwayml.com/,"テキストや画像からの動画生成、編集、特殊効果を統合し、企画から映像制作までを一つの環境で進められるAI。利用目的に合わせて導入を検討できます。",freemium,partial,active,4.7,1,24,"動画生成,デザイン","動画生成,画像生成","無料プランあり,高精度,商用利用可能","Web,iOS"
Pika,pika,Pika Labs,https://pika.art/,"文章や画像から短い動画を生成し、動き、効果音、部分修正などを直感的な操作で加えられる動画クリエイティブAI。利用目的に合わせて導入を検討できます。",freemium,partial,active,4.3,0,25,動画生成,"動画生成,画像生成","初心者向け,無料プランあり","Web,iOS"
Kling AI,kling-ai,Kuaishou Technology,https://klingai.com/,"テキストや画像から動きの自然な動画を生成し、カメラワークや長さを調整して多様な映像表現を作れるAI。利用目的に合わせて導入を検討できます。",freemium,partial,active,4.5,0,26,動画生成,"動画生成,画像生成","無料プランあり,高精度","Web,iOS,Android"
Veo,veo,Google DeepMind,https://deepmind.google/models/veo/,"テキストや画像の指示から高品質な映像と音声を生成し、映画的なカメラ表現や編集意図を反映できる動画AI。利用目的に合わせて導入を検討できます。",freemium,full,active,4.7,0,27,動画生成,"動画生成,音声合成","日本語対応,高精度","Web"
Sora,sora,OpenAI,https://sora.com/,"文章や画像をもとに映像を生成し、絵コンテ、リミックス、延長などの機能でアイデアを動画へ展開できるAI。利用目的に合わせて導入を検討できます。",paid,full,active,4.5,0,28,動画生成,"動画生成,画像生成","日本語対応,高精度,スマホ対応","Web,iOS,Android"
Luma Dream Machine,luma-dream-machine,Luma AI,https://lumalabs.ai/dream-machine,"テキストや静止画から動きのある動画を生成し、キーフレームやカメラ制御を使って映像案を素早く試せるAI。利用目的に合わせて導入を検討できます。",freemium,partial,active,4.4,0,29,動画生成,"動画生成,画像生成","無料プランあり,高精度","Web,iOS"
HeyGen,heygen,HeyGen,https://www.heygen.com/,"AIアバターと音声を使った説明動画を作成し、多言語翻訳やリップシンクで海外向けコンテンツも展開できるサービス。利用目的に合わせて導入を検討できます。",freemium,full,active,4.6,0,30,"動画生成,マーケティング","動画生成,翻訳,音声合成","初心者向け,日本語対応,無料プランあり,商用利用可能","Web"
Synthesia,synthesia,Synthesia,https://www.synthesia.io/,"AIアバターへ台本を読ませ、研修、マニュアル、営業向けの多言語動画を撮影なしで作成できるビジネス動画AI。利用目的に合わせて導入を検討できます。",trial,full,active,4.5,0,31,"動画生成,仕事効率化","動画生成,翻訳,音声合成,チーム利用","初心者向け,日本語対応,商用利用可能","Web"
ElevenLabs,elevenlabs,ElevenLabs,https://elevenlabs.io/,"自然な音声合成、声の変換、吹き替え、文字起こしを多言語で提供し、動画や音声作品へ組み込みやすい音声AI。利用目的に合わせて導入を検討できます。",freemium,full,active,4.8,1,32,音声生成,"音声合成,音声認識,翻訳,API","日本語対応,無料プランあり,高精度,商用利用可能","Web,iOS,Android,API"
Suno,suno,Suno,https://suno.com/,"歌詞や音楽のイメージを文章で伝えるだけで、ボーカルを含む楽曲を短時間で生成し、音楽制作を手軽に始められるAI。利用目的に合わせて導入を検討できます。",freemium,partial,active,4.6,0,33,音声生成,音声合成,"初心者向け,無料プランあり,スマホ対応","Web,iOS,Android"
Udio,udio,Uncharted Labs,https://www.udio.com/,"曲調、歌詞、雰囲気を指定してボーカル入りの楽曲を生成し、区間延長や編集で作品を仕上げられる音楽生成AI。利用目的に合わせて導入を検討できます。",freemium,partial,active,4.4,0,34,音声生成,音声合成,"初心者向け,無料プランあり","Web"
Murf,murf,Murf AI,https://murf.ai/,"テキストから自然なナレーションを生成し、声質、速度、発音を調整して動画や研修教材へ利用できる音声制作サービス。利用目的に合わせて導入を検討できます。",freemium,partial,active,4.3,0,35,"音声生成,仕事効率化","音声合成,API,チーム利用","初心者向け,無料プランあり,商用利用可能","Web,API"
Speechify,speechify,Speechify,https://speechify.com/,"記事、PDF、文書を自然な音声で読み上げ、移動中の学習や長文確認を支援するクロスプラットフォームの音声AI。利用目的に合わせて導入を検討できます。",freemium,full,active,4.4,0,36,"音声生成,教育",音声合成,"初心者向け,日本語対応,無料プランあり,スマホ対応","Web,iOS,Android,macOS,Chrome拡張"
Fireflies.ai,fireflies-ai,Fireflies.ai,https://fireflies.ai/,"オンライン会議へ参加して録音、文字起こし、要約、会話分析を行い、決定事項やタスクをチームで共有できるAI。利用目的に合わせて導入を検討できます。",freemium,partial,active,4.4,0,37,仕事効率化,"音声認識,要約,データ分析,自動化,チーム利用","無料プランあり,商用利用可能","Web,iOS,Android,Chrome拡張,Slack"
Otter.ai,otter-ai,Otter.ai,https://otter.ai/,"会議や講義の音声をリアルタイムで文字起こしし、要約、話者識別、アクション項目の整理まで支援するAIサービス。利用目的に合わせて導入を検討できます。",freemium,partial,active,4.3,0,38,"仕事効率化,教育","音声認識,要約,チーム利用","無料プランあり,スマホ対応","Web,iOS,Android"
Descript,descript,Descript,https://www.descript.com/,"文字起こしされた文章を編集する感覚で動画と音声を修正でき、収録、字幕、音声補正まで一つで行える制作ツール。利用目的に合わせて導入を検討できます。",freemium,partial,active,4.5,0,39,"動画生成,音声生成","音声認識,音声合成,動画生成,チーム利用","無料プランあり,商用利用可能","Web,macOS,Windows"
Gamma,gamma,Gamma,https://gamma.app/,"テーマや文章を入力すると、構成とデザインを整えたプレゼン資料、文書、Webページを短時間で作成できる生成AI。利用目的に合わせて導入を検討できます。",freemium,full,active,4.6,1,40,"仕事効率化,デザイン","文章作成,要約,画像生成,チーム利用","初心者向け,日本語対応,無料プランあり","Web"
Canva AI,canva-ai,Canva,https://www.canva.com/ai/,"文章、画像、動画、プレゼンの生成機能をCanvaの編集画面で利用し、豊富なテンプレートと組み合わせて制作できる。利用目的に合わせて導入を検討できます。",freemium,full,active,4.6,0,41,"デザイン,仕事効率化","文章作成,画像生成,動画生成,翻訳,チーム利用","初心者向け,日本語対応,無料プランあり,商用利用可能","Web,iOS,Android,macOS,Windows"
Notion AI,notion-ai,Notion Labs,https://www.notion.com/product/ai,"Notion内の文書やデータベースを参照し、文章作成、要約、検索、会議メモ整理を同じワークスペースで支援するAI。利用目的に合わせて導入を検討できます。",paid,full,active,4.6,1,42,"仕事効率化,文章生成","文章作成,要約,翻訳,Web検索,チーム利用","初心者向け,日本語対応,商用利用可能","Web,iOS,Android,macOS,Windows"
Grammarly,grammarly,Superhuman,https://www.grammarly.com/ai,"英文の文法、語調、明瞭さを確認し、生成AIによる書き換えや下書きでビジネスコミュニケーションを支援する。利用目的に合わせて導入を検討できます。",freemium,partial,active,4.5,0,43,"文章生成,仕事効率化","文章作成,要約,翻訳,チーム利用","初心者向け,無料プランあり,Chrome拡張","Web,macOS,Windows,iOS,Android,Chrome拡張"
Jasper,jasper,Jasper,https://www.jasper.ai/,"ブランドの表現ルールを保ちながら、広告、ブログ、キャンペーン素材をチームで作成・展開できるマーケティングAI。利用目的に合わせて導入を検討できます。",trial,partial,active,4.3,0,44,"マーケティング,文章生成","文章作成,画像生成,チーム利用,自動化","商用利用可能","Web,Chrome拡張"
Copy.ai,copy-ai,Copy.ai,https://www.copy.ai/,"営業やマーケティング向けの文章生成とワークフロー自動化を組み合わせ、定型業務をチームで効率化できるAI基盤。利用目的に合わせて導入を検討できます。",freemium,partial,active,4.2,0,45,"マーケティング,文章生成","文章作成,自動化,チーム利用","無料プランあり,商用利用可能","Web"
Zapier AI,zapier-ai,Zapier,https://zapier.com/ai,"自然言語で自動化フローやAIエージェントを作成し、数多くの業務アプリをつないで反復作業を減らせるサービス。利用目的に合わせて導入を検討できます。",freemium,partial,active,4.5,0,46,"AIエージェント,仕事効率化","自動化,API,チーム利用","初心者向け,無料プランあり,商用利用可能","Web,API,Slack"
Make,make,Make,https://www.make.com/en,"複数アプリの処理を視覚的なシナリオで接続し、AIサービスも組み込んで複雑な業務フローを自動化できる。利用目的に合わせて導入を検討できます。",freemium,partial,active,4.5,0,47,仕事効率化,"自動化,API,チーム利用","無料プランあり,商用利用可能","Web,API"
n8n,n8n,n8n,https://n8n.io/,"多数のサービスとAIモデルをノードで接続し、クラウドまたは自社環境で柔軟な自動化とエージェントを構築できる。利用目的に合わせて導入を検討できます。",freemium,partial,active,4.6,0,48,"AIエージェント,仕事効率化","自動化,API,チーム利用","無料プランあり,商用利用可能","Web,API"
Lindy,lindy,Lindy,https://www.lindy.ai/,"メール、会議、顧客対応などを任せるAIエージェントをノーコードで作成し、複数の業務ツールと連携できる。利用目的に合わせて導入を検討できます。",freemium,partial,active,4.2,0,49,"AIエージェント,仕事効率化","自動化,API,チーム利用","初心者向け,無料プランあり","Web,API"
Relevance AI,relevance-ai,Relevance AI,https://relevanceai.com/,"社内データや外部サービスにつながるAIエージェントと複数エージェントのチームを構築し、業務を自動化できる基盤。利用目的に合わせて導入を検討できます。",freemium,partial,active,4.3,0,50,"AIエージェント,仕事効率化","自動化,API,データ分析,チーム利用","無料プランあり,商用利用可能","Web,API"
